D_DONO,D_IVNO,D_MODEL,D_DELWH,D_TRUCKNO,D_PLNO,D_PLTYPE,H_DELWH,H_CTNO,H_ETD,H_ORDTYPE,H_DELBIT,Model,C_CUSTOMER_NAME,C_CUSTOMER_CODE,H_LOADDATE
8100046182,'E231019,1YC36DXD#A,,03,'22014191D8077,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22014191D8082,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22014191D8082,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22014191D8082,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22015191D8372,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22015191D8372,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22015191D8372,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22017191D8660,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22017191D8660,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,1YC36DXD#A,,03,'22017191D8660,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC32UXD#A,,03,'22506521D6824,SV12,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC32UXD#A,,03,'22506521D6824,SV12,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC32UXD#A,,03,'22506521D6824,SV12,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D7991,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D7991,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D7991,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D8000,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D8000,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013391D8000,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013891D7985,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013891D7985,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40BXD#A,,03,'22013891D7985,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8128,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8128,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8128,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8158,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8158,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8158,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8208,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8208,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8208,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8214,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8214,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC40GXD#A,,03,'22014891D8214,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8407,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8407,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8407,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8411,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8411,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AXD#A,,03,'22015591D8411,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AYD#A,,03,'22015591D8413,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AYD#A,,03,'22015591D8413,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC48AYD#A,,03,'22015591D8413,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7486,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7486,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7486,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7489,SV12-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7489,SV12-QR,DCI,02,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,2YC63FXD#A,,03,'22514591D7489,SV12-QR,DCI,03,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
8100046182,'E231019,JP035AEAXSV#T,,02,'22501492D6209,SV9-QR,DCI,01,20230115,EX,F,,DAIKIN ASIA SERVICING PTE. LTD.,'487973,01/10/2023 00:00:00
